titre,prix,localisation,surface,chambres,salles_de_bain,lien
Très bel appartement rénové,1 500 000,"Appartements dans Marrakech, Palmeraie",90 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/palmeraie/appartements/Tr%C3%A8s_bel_appartement_r%C3%A9nov%C3%A9_57850619.htm
Appartement 58 m2 avec piscine à gueliz,928 000,"Appartements dans Marrakech, Guéliz",58 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_58_m2_avec_piscine_%C3%A0_gueliz_32463039.htm
Appartement à vendre 130 m² à El Jadida,1 070 000,"Appartements dans El Jadida, Hay Essalam",130 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/hay_essalam/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_El_Jadida_55404755.htm
Appartement à vendre Massira 1 81m2,750 000,"Appartements dans Marrakech, Massira 1",81 m²,2 chambres,1 sdb,https://www.avito.ma/fr/massira_1/appartements/Appartement_%C3%A0_vendre_Massira_1_81m2_57882285.htm
Appartement et studio sur toit à vendre,760 000,"Appartements dans El Jadida, Autre secteur",106 m²,4 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_et_studio_sur_toit_%C3%A0_vendre_57882289.htm
Appartement à vendre 170 m² à Rabat,3 450 000,"Appartements dans Rabat, Hay Riad",170 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Rabat_57833782.htm
Appartement à vendre 64 m² à Martil,380 000,"Appartements dans Martil, Toute la ville",63 m²,2 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Martil_57116450.htm
Appartement à vendre 124 m² à Casablanca,3 500 000,"Appartements dans Casablanca, Casablanca Finance City",124 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_124_m%C2%B2_%C3%A0_Casablanca_57857372.htm
appartement la perle de l'atlas 54m2,800 000,"Appartements dans Marrakech, Guéliz",54 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/appartement_la_perle_de_l_atlas_54m2_57882235.htm
VENTE D’UN BEL APPARTEMENT DE 117M2,1 900 000,"Appartements dans Casablanca, Les Princesses",117 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/les_princesses/appartements/VENTE_D_UN_BEL_APPARTEMENT_DE_117M2_56886880.htm
Appartement à vendre près de Carré Éden Marrakech,1 360 000,"Appartements dans Marrakech, Guéliz",81 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_pr%C3%A8s_de_Carr%C3%A9_%C3%89den_Marrakech_56915690.htm
Élégant Studio à vendre 63 m² à Marrakech,1 134 000,"Appartements dans Marrakech, Guéliz",63 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/%C3%89l%C3%A9gant_Studio_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Marrakech_57765732.htm
Appartement à vendre devant la nouvelle gare routière sans intermédiaire,505 000,"Appartements dans Tanger, Autre secteur",67 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_devant_la_nouvelle_gare_routi%C3%A8re_sans_interm%C3%A9diaire_56156909.htm
Appartement à vendre 147 m² à Rabat,3 400 000,"Appartements dans Rabat, Agdal",150 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_147_m%C2%B2_%C3%A0_Rabat_57882206.htm
Appartement à vendre 78 m² à Deroua,460 000,"Appartements dans Deroua, Toute la ville",78 m²,2 chambres,1 sdb,https://www.avito.ma/fr/deroua/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Deroua_57721736.htm
Appartement 157m² – SANS VIS-À-VIS – CASABLANCA,2 200 000,"Appartements dans Casablanca, Quartier des Hôpitaux",157 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_157m%C2%B2___SANS_VIS_%C3%80_VIS___CASABLANCA_57877123.htm
"Studio, local commercial, droit à la terrasse et aide au logement",620 000,"Appartements dans Marrakech, Azli",83 m²,1 chambre,1 sdb,https://www.avito.ma/fr/azli/appartements/Studio__local_commercial__droit_%C3%A0_la_terrasse_et_aide_au_logement_57882215.htm
